Wide Receiver, Team, Pos Rk, FF Pt, G, Carry, Ru Yds, Ru TD, Targ, Rec, Re Yd, Re TD, Car%, Targ%
Cedrick Wilson, NO,121,39,15,0,0,0,23,14,175,1,0%,4%
Allen Lazard, NYJ,122,37,15,0,0,0,22,13,169,1,0%,4%
Ryan Flournoy, DAL,123,36,15,0,0,0,20,13,156,1,0%,3%
Jalen Guyton, LV,124,36,15,12,71,0,16,9,131,1,3%,3%
Devin Duvernay, JAX,125,31,15,2,13,0,17,12,111,1,1%,3%
Alec Pierce, IND,126,30,15,0,0,0,21,11,150,1,0%,4%
Trenton Irwin, CIN,127,30,15,0,0,0,18,12,131,1,0%,3%
Malik Washington, MIA,128,29,15,2,12,0,17,10,124,1,1%,3%
Nick Westbrook-Ikhine, TEN,129,29,14,0,0,0,18,11,134,1,0%,3%
Ray-Ray McCloud, ATL,130,28,15,0,0,0,17,12,115,1,0%,3%
Isaiah McKenzie, NYG,131,28,15,4,20,0,17,12,101,0,1%,3%
Jordan Whittington, LAR,132,28,15,0,0,0,17,11,131,1,0%,3%
Marquez Valdes-Scantling, BUF,133,28,15,0,0,0,17,9,143,1,0%,3%
Bo Melton, GB,134,28,15,2,13,0,16,10,114,1,1%,3%
Jalen Nailor, MIN,135,27,15,0,0,0,19,11,130,1,0%,3%
David Moore, CAR,136,26,15,0,0,0,16,10,123,1,0%,3%
Ainias Smith, PHI,137,26,15,0,0,0,16,10,116,1,0%,3%
Dyami Brown, WAS,138,25,15,0,0,0,16,9,129,1,0%,3%
Laviska Shenault Jr., SEA,139,22,15,4,22,0,11,8,77,0,1%,2%
Donovan Peoples-Jones, DET,140,22,15,0,0,0,14,8,105,1,0%,2%
Skyy Moore, KC,141,21,15,0,0,0,12,7,92,1,0%,2%
K.J. Osborn, NE,142,19,15,0,0,0,13,8,87,0,0%,2%
Kadarius Toney, KC,143,19,15,6,32,0,8,6,55,0,2%,1%
Mack Hollins, BUF,144,18,15,0,0,0,11,6,79,1,0%,2%
Chase Claypool, BUF,145,18,15,0,0,0,11,6,85,1,0%,2%
Anthony Gould, IND,146,17,15,0,0,0,10,6,70,0,0%,2%
Johnny Wilson, PHI,147,17,15,0,0,0,10,6,76,0,0%,2%
Tyler Scott, CHI,148,16,15,4,26,0,8,5,55,0,1%,1%
David Bell, CLV,149,16,14,0,0,0,10,7,71,0,0%,2%
Scotty Miller, PIT,150,16,15,0,0,0,10,6,75,0,0%,2%
Braxton Berrios, MIA,151,15,15,0,0,0,8,6,54,0,0%,1%
Trent Sherfield, MIN,152,15,13,0,0,0,11,5,71,0,0%,2%
Jalen Brooks, DAL,153,15,14,0,0,0,9,6,65,0,0%,1%
Ihmir Smith-Marsette, CAR,154,14,15,4,28,0,5,3,38,0,1%,1%
John Metchie III, HST,155,14,14,0,0,0,8,5,61,0,0%,1%
Sterling Shepard, TB,156,13,14,0,0,0,8,5,50,0,0%,1%
Jalen Reagor, NE,157,13,15,2,12,0,5,3,39,0,1%,1%
DJ Turner, LV,158,12,14,0,0,0,8,5,57,0,0%,1%
Charlie Jones, CIN,159,12,15,0,0,0,6,4,41,0,0%,1%
A.T. Perry, NO,160,10,15,0,0,0,6,4,44,0,0%,1%
