"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"165","Samori Toure (GB)","8","18","78","9.8","35","1","0","0","0","0","1","11","15.8","1.4","0.0%"
"166","Keith Kirkwood (BAL)","5","9","37","7.4","13","0","1","0","0","0","0","13","14.7","1.1","0.0%"
"167","D.J. Montgomery (IND)","3","8","56","18.7","34","1","1","0","0","0","0","7","14.6","2.1","0.0%"
"168","Marquise Goodwin (FA)","4","13","67","16.8","57","1","0","4","33","0","0","12","14.0","1.2","0.0%"
"169","Lawrence Cager (NYG)","4","5","36","9.0","10","0","1","0","0","0","0","9","13.6","1.5","0.0%"
"170","Jalen Brooks (DAL)","6","6","64","10.7","24","1","0","0","0","0","0","7","12.4","1.8","0.1%"
"171","Justyn Ross (KC)","6","11","53","8.8","20","1","0","0","0","0","0","10","11.3","1.1","0.1%"
"172","Equanimeous St. Brown (NO)","5","6","62","12.4","21","1","0","0","0","0","0","7","11.2","1.6","0.1%"
"173","Velus Jones Jr. (CHI)","4","7","20","5.0","11","0","0","8","51","0","0","14","11.1","0.8","0.2%"
"174","Rakim Jarrett (TB)","4","9","60","15.0","41","1","0","1","0","0","0","10","10.0","1.0","0.0%"
"175","Chris Conley (SF)","3","6","69","23.0","48","1","0","0","0","0","0","8","9.9","1.2","0.0%"
"176","DeAndre Carter (CHI)","4","7","39","9.8","16","0","0","3","18","0","0","17","9.7","0.6","0.0%"
"177","Keelan Doss (LV)","6","13","33","5.5","9","0","0","0","0","0","0","5","9.3","1.9","0.0%"
"178","Tyler Johnson (LAR)","2","3","8","4.0","8","0","1","0","0","0","0","1","8.8","8.8","0.0%"
"179","Britain Covey (PHI)","4","6","42","10.5","22","1","0","0","0","0","0","16","8.2","0.5","0.1%"
"180","Tylan Wallace (BAL)","1","2","11","11.0","11","0","0","0","0","0","0","9","8.1","0.9","0.1%"
