Wide Receiver, Team, Pos Rk, FF Pt, G, Carry, Ru Yds, Ru TD, Targ, Rec, Re Yd, Re TD, Car%, Targ%
Rashod Bateman, BLT,81,122,15,0,0,0,76,46,603,3,0%,15%
Jalen Tolbert, DAL,82,121,15,0,0,0,73,43,575,3,0%,12%
Michael Wilson, ARZ,83,120,15,0,0,0,72,48,556,3,0%,13%
Luke McCaffrey, WAS,84,108,15,4,25,0,67,42,501,2,1%,12%
Rondale Moore, ATL,85,107,15,8,51,0,58,42,430,3,2%,10%
Jalen McMillan, TB,86,107,15,0,0,0,64,40,490,3,0%,11%
Odell Beckham Jr., MIA,87,99,14,0,0,0,57,32,468,3,0%,10%
Trey Palmer, TB,88,98,15,4,25,0,58,35,440,3,1%,10%
Malachi Corley, NYJ,89,97,15,9,54,0,50,35,391,2,2%,9%
Ricky Pearsall, SF,90,88,15,5,29,0,46,29,385,3,1%,9%
Kalif Raymond, DET,91,84,15,4,30,0,45,32,360,2,1%,8%
Nelson Agholor, BLT,92,81,15,0,0,0,45,29,368,3,0%,9%
Van Jefferson, PIT,93,80,15,0,0,0,51,28,403,2,0%,10%
Elijah Moore, CLV,94,79,15,4,22,0,48,28,367,2,1%,9%
Roman Wilson, PIT,95,76,15,0,0,0,46,28,366,2,0%,9%
Tim Patrick, DEN,96,73,15,0,0,0,46,28,335,2,0%,8%
Tre Tucker, LV,97,72,15,0,0,0,45,27,340,1,0%,8%
Andrei Iosivas, CIN,98,70,15,0,0,0,42,27,299,2,0%,7%
Cedric Tillman, CLV,99,70,15,0,0,0,43,25,330,2,0%,8%
Xavier Gipson, NYJ,100,67,15,4,28,0,33,21,257,2,1%,6%
Josh Reynolds, DEN,101,65,15,0,0,0,40,24,286,2,0%,7%
Treylon Burks, TEN,102,65,15,4,22,0,40,23,325,1,1%,7%
Jonathan Mingo, CAR,103,65,15,0,0,0,43,25,322,1,0%,8%
Kavontae Turpin, DAL,104,61,15,8,60,0,30,18,230,2,2%,5%
Troy Franklin, DEN,105,60,15,0,0,0,39,23,286,1,0%,7%
Tutu Atwell, LAR,106,57,15,2,12,0,34,20,265,1,1%,6%
Devontez Walker, BLT,107,51,15,0,0,0,30,19,229,2,0%,6%
Jauan Jennings, SF,108,50,15,0,0,0,30,19,237,1,0%,6%
Noah Brown, HST,109,50,15,0,0,0,29,17,236,2,0%,5%
Javon Baker, NE,110,50,15,0,0,0,33,20,234,1,0%,6%
KhaDarel Hodge, ATL,111,49,15,0,0,0,28,18,231,1,0%,5%
Bub Means, NO,112,49,15,0,0,0,28,18,221,1,0%,5%
Brandon Powell, MIN,113,48,15,4,21,0,30,19,190,1,1%,5%
Greg Dortch, ARZ,114,47,15,4,26,0,28,18,200,1,1%,5%
Calvin Austin III, PIT,115,47,15,9,54,0,25,15,194,1,2%,5%
Justin Watson, KC,116,46,15,0,0,0,27,15,213,2,0%,4%
Jake Bobo, SEA,117,46,15,8,51,1,22,15,158,1,2%,4%
Jamison Crowder, WAS,118,41,15,0,0,0,28,19,178,1,0%,5%
Derius Davis, LAC,119,40,15,13,86,0,16,11,111,1,3%,3%
Parris Campbell, PHI,120,39,15,0,0,0,26,17,169,1,0%,5%
