Wide Receiver, Team, Pos Rk, FF Pt, G, Carry, Ru Yds, Ru TD, Targ, Rec, Re Yd, Re TD, Car%, Targ%
Jayden Reed, GB,41,181,15,13,88,1,95,62,759,5,3%,17%
Jerry Jeudy, CLV,42,176,15,0,0,0,97,61,920,4,0%,18%
Darnell Mooney, ATL,43,176,15,4,25,0,93,56,819,6,1%,16%
Marquise Brown, KC,44,176,15,2,12,0,98,55,806,6,1%,16%
Jakobi Meyers, LV,45,176,15,4,25,0,108,73,783,3,1%,19%
Rome Odunze, CHI,46,175,15,2,13,0,100,60,804,6,1%,18%
Xavier Worthy, KC,47,175,15,6,35,0,90,56,755,6,2%,15%
Ladd McConkey, LAC,48,174,15,2,14,0,98,63,798,5,1%,18%
Adam Thielen, CAR,49,172,15,0,0,0,100,74,709,5,0%,18%
Tyler Lockett, SEA,50,171,15,0,0,0,101,70,771,4,0%,18%
Brian Thomas Jr., JAX,51,171,15,0,0,0,100,61,813,5,0%,17%
Gabriel Davis, JAX,52,170,15,0,0,0,94,53,796,6,0%,16%
Keon Coleman, BUF,53,169,15,0,0,0,96,58,807,5,0%,17%
Mike Williams, NYJ,54,167,14,0,0,0,86,56,767,6,0%,15%
Curtis Samuel, BUF,55,165,15,13,65,1,90,63,640,4,3%,16%
DeMario Douglas, NE,56,164,15,12,71,0,96,59,769,3,3%,17%
Jameson Williams, DET,57,162,15,4,34,0,90,54,778,4,1%,16%
Rashid Shaheed, NO,58,160,15,4,27,0,86,55,749,4,1%,15%
DeAndre Hopkins, TEN,59,157,13,0,0,0,97,58,763,4,0%,16%
Brandin Cooks, DAL,60,156,15,4,26,0,86,57,669,5,1%,14%
Demarcus Robinson, LAR,61,153,15,0,0,0,88,58,698,4,0%,15%
Xavier Legette, CAR,62,145,15,6,39,0,82,51,676,3,2%,15%
Khalil Shakir, BUF,63,143,15,0,0,0,79,56,662,3,0%,14%
Ja'Lynn Polk, NE,64,141,15,0,0,0,90,55,686,3,0%,16%
Marvin Mims, DEN,65,140,15,8,44,0,80,49,647,3,2%,14%
Josh Palmer, LAC,66,139,15,0,0,0,82,53,631,4,0%,15%
Romeo Doubs, GB,67,135,15,0,0,0,78,49,589,5,0%,14%
Kendrick Bourne, NE,68,134,15,2,13,0,79,52,614,3,1%,14%
Wan'Dale Robinson, NYG,69,134,15,8,51,0,87,62,576,1,2%,15%
Tyler Boyd, TEN,70,133,15,2,11,0,85,59,590,2,1%,14%
Quentin Johnston, LAC,71,131,15,2,13,0,76,47,601,4,1%,14%
Adonai Mitchell, IND,72,130,15,0,0,0,80,46,643,3,0%,15%
Darius Slayton, NYG,73,128,15,0,0,0,81,48,662,2,0%,14%
Jalin Hyatt, NYG,74,127,15,0,0,0,80,48,628,3,0%,14%
Josh Downs, IND,75,127,15,0,0,0,80,53,596,2,0%,15%
Dontayvion Wicks, GB,76,126,15,0,0,0,72,47,567,4,0%,13%
Jahan Dotson, WAS,77,125,15,0,0,0,85,50,592,3,0%,15%
Jermaine Burton, CIN,78,123,15,0,0,0,72,47,562,3,0%,12%
DJ Chark, LAC,79,123,15,0,0,0,70,38,568,5,0%,13%
Zay Jones, ARZ,80,122,15,0,0,0,78,47,555,3,0%,14%
