Running Back, Team, Pos Rk, FF Pt, G, Carry, Ru Yds, Ru TD, Targ, Rec, Re Yd, Re TD, Car%, Targ%
Zach Charbonnet, SEA,41,137,14,116,506,3,45,36,248,1,28%,8%
Ty Chandler, MIN,42,137,14,154,678,4,29,22,157,1,40%,5%
Chuba Hubbard, CAR,43,136,14,138,561,5,37,30,198,1,33%,7%
Nick Chubb, CLV,44,134,10,150,726,5,21,17,137,0,35%,4%
Jerome Ford, CLV,45,134,14,142,589,4,38,28,202,1,33%,7%
Jaleel McLaughlin, DEN,46,132,14,96,433,2,51,40,274,1,25%,9%
Trey Benson, ARZ,47,113,14,123,539,3,28,22,153,1,30%,5%
Clyde Edwards-Helaire, KC,48,109,14,87,375,2,32,24,206,2,23%,5%
Blake Corum, LAR,49,108,14,119,511,4,23,18,130,1,29%,4%
Kendre Miller, NO,50,104,14,71,311,2,39,31,243,1,17%,7%
Rico Dowdle, DAL,51,104,14,95,407,3,30,23,178,1,23%,5%
MarShawn Lloyd, GB,52,104,14,90,397,2,33,25,181,1,22%,6%
Alexander Mattison, LV,53,92,14,121,497,3,17,13,87,1,30%,3%
Khalil Herbert, CHI,54,85,14,104,475,2,17,12,87,1,25%,3%
Miles Sanders, CAR,55,84,14,93,399,3,24,16,120,0,22%,4%
Jamaal Williams, NO,56,77,14,85,341,2,23,19,111,0,20%,4%
Elijah Mitchell, SF,57,76,13,84,346,3,15,12,79,0,18%,3%
Ray Davis, BUF,58,75,14,83,354,2,17,13,93,1,20%,3%
Braelon Allen, NYJ,59,75,14,78,337,3,17,13,93,1,18%,3%
Kenneth Gainwell, PHI,60,74,14,61,266,2,26,20,139,0,14%,5%
Tank Bigsby, JAX,61,74,14,83,344,3,17,13,91,1,21%,3%
Roschon Johnson, CHI,62,74,14,75,323,2,20,15,101,1,18%,4%
Tyrone Tracy Jr., NYG,63,72,14,66,276,2,23,18,122,1,17%,4%
Justice Hill, BLT,64,70,14,53,234,2,24,18,136,1,12%,5%
Bucky Irving, TB,65,70,14,73,316,2,17,13,94,1,19%,3%
Dameon Pierce, HST,66,64,14,90,344,2,11,9,57,0,23%,2%
D'Onta Foreman, CLV,67,62,13,79,334,3,9,7,50,0,18%,2%
Ty Johnson, BUF,68,60,14,45,193,1,22,15,144,0,11%,4%
Audric Estime, DEN,69,58,14,61,255,1,17,12,90,0,16%,3%
Chase Edmonds, TB,70,58,14,58,254,1,18,14,94,1,15%,3%
Eric Gray, NYG,71,57,14,53,226,2,17,13,89,0,14%,3%
Jaylen Wright, MIA,72,56,14,51,224,1,17,13,90,0,12%,3%
Ameer Abdullah, LV,73,56,14,24,103,1,28,22,160,1,6%,5%
Isaiah Davis, NYJ,74,55,14,65,275,2,11,9,63,0,15%,2%
Michael Carter, ARZ,75,54,14,44,189,1,22,16,107,0,11%,4%
Nyheim Hines, CLV,76,54,14,24,103,1,23,18,133,1,6%,4%
Royce Freeman, DAL,77,54,14,62,259,2,12,9,66,0,15%,2%
Trey Sermon, IND,78,51,14,56,242,1,13,10,68,0,12%,3%
D'Ernest Johnson, JAX,79,48,14,54,241,1,11,9,62,0,14%,2%
Keaton Mitchell, BLT,80,48,8,41,183,1,13,10,78,1,9%,3%
