Running Back, Team, Pos Rk, FF Pt, G, Carry, Ru Yds, Ru TD, Targ, Rec, Re Yd, Re TD, Car%, Targ%
Christian McCaffrey, SF,1,335,14,258,1220,12,84,67,526,4,55%,16%
Breece Hall, NYJ,2,288,14,235,1045,8,85,68,544,3,54%,15%
Bijan Robinson, ATL,3,284,14,213,958,7,88,65,571,4,50%,15%
Jonathan Taylor, IND,4,254,14,262,1171,9,53,41,318,1,56%,10%
Saquon Barkley, PHI,5,253,14,253,1046,9,64,46,361,2,58%,12%
Kyren Williams, LAR,6,241,14,231,1075,10,47,35,285,2,56%,8%
Jahmyr Gibbs, DET,7,239,14,189,875,8,68,51,375,2,42%,12%
Isiah Pacheco, KC,8,232,14,220,979,8,54,46,290,2,58%,9%
Alvin Kamara, NO,9,232,14,183,759,5,82,67,488,2,43%,14%
Derrick Henry, BLT,10,231,14,251,1058,12,36,27,223,1,56%,7%
Rachaad White, TB,11,228,14,214,872,6,65,53,396,2,55%,11%
Travis Etienne, JAX,12,225,14,225,948,7,59,47,354,1,57%,10%
James Cook, BUF,13,222,14,209,942,4,63,49,402,2,50%,11%
Joe Mixon, HST,14,217,14,215,883,7,54,42,296,3,54%,9%
Ken Walker III, SEA,15,211,14,233,1013,8,40,31,232,1,56%,7%
Josh Jacobs, GB,16,210,14,246,969,7,51,37,284,1,59%,9%
De'Von Achane, MIA,17,209,14,161,741,6,64,47,391,2,39%,11%
Rhamondre Stevenson, NE,18,192,14,192,802,5,62,45,331,1,49%,11%
Aaron Jones, MIN,19,191,14,159,748,5,60,43,344,2,41%,10%
Zamir White, LV,20,181,14,201,868,5,46,35,247,1,50%,8%
D'Andre Swift, CHI,21,180,14,184,833,5,45,35,249,1,44%,8%
Brian Robinson Jr., WAS,22,178,14,197,828,5,45,35,280,1,48%,8%
David Montgomery, DET,23,178,14,182,798,9,28,22,163,1,40%,5%
James Conner, ARZ,24,178,13,177,813,6,40,33,224,1,43%,7%
Jaylen Warren, PIT,25,177,14,125,600,3,67,54,371,1,28%,13%
Javonte Williams, DEN,26,176,14,168,665,4,63,49,299,1,43%,11%
Najee Harris, PIT,27,176,14,219,893,6,36,28,169,1,49%,7%
Ezekiel Elliott, DAL,28,173,14,191,752,6,43,32,217,1,46%,7%
Tyjae Spears, TEN,29,171,14,119,518,3,67,50,403,2,33%,11%
Austin Ekeler, WAS,30,170,14,110,441,3,68,50,445,2,27%,12%
Raheem Mostert, MIA,31,169,14,153,713,8,35,26,188,1,37%,6%
Tony Pollard, TEN,32,167,14,166,713,5,49,38,245,1,46%,8%
Devin Singletary, NYG,33,167,14,185,790,5,46,35,227,1,49%,8%
Chase Brown, CIN,34,159,14,132,560,5,49,39,289,1,36%,8%
J.K. Dobbins, LAC,35,155,13,149,744,4,39,30,212,1,33%,7%
Zack Moss, CIN,36,148,14,146,630,5,37,28,190,1,40%,6%
Tyler Allgeier, ATL,37,144,14,141,577,5,34,28,214,1,33%,6%
Gus Edwards, LAC,38,143,14,180,760,6,22,17,134,1,40%,4%
Antonio Gibson, NE,39,141,14,126,530,3,51,39,279,1,32%,9%
Jonathon Brooks, CAR,40,140,11,144,661,5,30,24,175,1,34%,5%
